title,brand,mpn,upc,product_type,primary_category,smart_home_ecosystem,brand_tier,condition,condition_score,price,wasPrice,discount_pct,savings_usd,has_discount,price_tier,log_price,price_per_channel,sold,available,mpn-alt,upc-alt,condition_score-alt,has_solar_power,is_battery_powered,is_wired,has_wifi,has_poe,has_cellular_4g5g,has_pan_tilt_zoom,has_motion_detect,has_ai_detection,has_two_way_audio,has_voice_control,has_floodlight,has_local_storage,has_cloud_storage,is_doorbell_camera,is_outdoor,is_indoor,is_nvr_dvr_system,is_complete_system,is_refurb_product,channel_count,pack_quantity,tech_richness_score,commercial_value_score,seller,seller_city,seller_state,seller_country,ships_to_count,excluded_country_count,global_reach_score,is_us_only_shipping,days_since_update,listing_freshness_score,estimated_revenue
Lorex 4K+ 12MP IP Wired Bullet Security Camera with Smart  Lighting (E910AB),Lorex,E910AB,695529055725,Bullet Camera,Security Cameras,Lorex,Prosumer,Excellent Refurbished,3,$89.99,,$0.00,$0.00,0,Mid-Range ($75–$200),4.51075,,$3.00,$144.00,E910AB,695529055726,176.98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,30.25,Seller_1,Carrollton,Texas,United States,168,13,0.9282,0,7,98.1,$269.97
"Lorex LNB9292B 4K Ultra HD IP 4x Motorized Bullet Camera, 30FPS, IP67, 1PK",Lorex,LNB9292B-1PK,695529025988,Bullet Camera,Security Cameras,Lorex,Prosumer,New,5,$129.99,,$0.00,$0.00,0,Mid-Range ($75–$200),4.875121,,$35.00,$185.00,LNB9292B-1PK,695529025989,254.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,36.21,Seller_1,Carrollton,Texas,United States,168,13,0.9282,0,2,99.5,"$4,549.65"
4 PACK 60ft BNC Cables for CCTV Security Camera DVR System w/ BNC FF Connectors,Chargio,BNC Cable,704537716990,Other,Accessories,Other/Generic,Other Brand,New,5,$19.99,,$0.00,$0.00,0,Budget (<$25),3.044046,,$36.00,$20.00,BNC Cable,704537716991,34.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,4,1,55.57,Seller_1,Carrollton,TX,United States,168,13,0.9282,0,2,99.5,$719.64
"Lorex LNE9292B 4K Ultra HD  IP 4X  Motorized Dome Camera, 30FPS, 1 PK",Lorex,LNE9292B,695529026374,Dome Camera,Security Cameras,Lorex,Prosumer,New,5,$154.99,,$0.00,$0.00,0,Mid-Range ($75–$200),5.049792,,$50.00,$23.00,LNE9292B,695529026375,304.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,57.16,Seller_1,Carrollton,TX,United States,168,13,0.9282,0,3,99.2,"$7,749.50"
"Lorex D841A82B 4K 8Ch Analog Ultra HD DVR 1 HDD 2TB with Smart Home Voice, Black",Lorex,D841A82B-W,695529021133,DVR,Uncategorized,Lorex,Prosumer,New,5,$399.99,,$0.00,$0.00,0,Premium ($200–$500),5.993936,$50.00,$36.00,$19.00,D841A82B-W,695529021134,794.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,1,1,56.03,Seller_1,Carrollton,TX,United States,168,13,0.9282,0,2,99.5,"$14,399.64"
"Lorex N844A82 4K 8-Channel 2TB NVR, Smart Motion, Voice Control, Fusion (M.Ref)",Lorex,N844A82,695529036816,Monitor/Display,Uncategorized,Lorex,Prosumer,Excellent Refurbished,3,$259.99,,$0.00,$0.00,0,Premium ($200–$500),5.564482,$32.50,$11.00,$332.00,N844A83,695529036817,516.98,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,8,1,2,31.13,Seller_1,Carrollton,TX,United States,168,13,0.9282,0,2,99.5,"$2,859.89"
"Lorex N843A82 4K 8-Channel Network Video Recorder, Smart Motion Detection(M.Ref)",Lorex,N843A82,695529034140,Not Specified,Uncategorized,Lorex,Prosumer,Excellent Refurbished,3,$254.99,,$0.00,$0.00,0,Premium ($200–$500),5.545138,$31.87,$5.00,$332.00,N843A83,695529034141,506.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,8,1,0,30.44,Seller_1,Carrollton,TX,United States,168,13,0.9282,0,2,99.5,"$1,274.95"
Lorex N846A62 Fusion 4K Ultra HD 16-Channel (8 wired and 8 Wi-Fi) 2TB NVR(M.Ref),Lorex,N846A62,695529043753,NVR,Uncategorized,Lorex,Prosumer,Excellent Refurbished,3,$289.99,,$0.00,$0.00,0,Premium ($200–$500),5.673289,$18.12,$15.00,$332.00,N846A63,695529043754,576.98,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,16,1,2,31.58,Seller_1,Carrollton,TX,United States,167,13,0.9278,0,2,99.5,"$4,349.85"
Solar Camera Outdoor Wireless 5G -4MP Outdoor Camera Wireless w/ Integrated SP,Unknown,,,Camera,Security Cameras,Other/Generic,Generic/Unknown,New,5,$21.99,,$0.00,$0.00,0,Budget (<$25),3.135059,,$33.00,$10.00,,,38.98,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,2,59.95,Seller_10,Carrollton,Texas,United States,2,220,0.009,0,9,97.5,$725.67
Lot 8 YI Home Camera 1080p Wireless IP Security Surveillance System Night Vision,YI,,,Camera,Security Cameras,Other/Generic,Other Brand,Used,2,$79.99,,$0.00,$0.00,0,Mid-Range ($75–$200),4.394326,,$802.00,$10.00,,,157.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,2,64.59,Seller_10,Plano,Texas,United States,2,220,0.009,0,60,83.6,"$64,151.98"
BRAND NEW SimpliSafe Base Station - Current Gen 3 (Latest) + Power Adapter,Simplisafe,,843261112729,Base System,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,$27.95,,$0.00,$0.00,0,Value ($25–$75),3.36557,,$386.00,$8.00,,843261112730,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,68.77,Seller_100,Voorhees,New Jersey,United States,168,11,0.9385,0,5,98.6,"$10,788.70"
SimpliSafe CM006 Smart Alarm Night Vision Motion Camera Wireless Indoor Security,Simplisafe,,,Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,$72.49,,$0.00,$0.00,0,Value ($25–$75),4.297149,,$40.00,$10.00,,,139.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,2,58.7,Seller_100,Voorhees,NJ,United States,168,11,0.9385,0,40,89,"$2,899.60"
